"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","MaleProp","RightProp","ScannerField","FSVersion","yi","vi","df"
"ACPU",28,28,0,28,0,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",1,1,NA,NA,-0.260269220738443,0.0369239297725678,27
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.780487805,0.842105263,NA,5.3,-0.154019265932136,0.0252965241784784,39
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.473684211,0.945454545,NA,5.3,-0.184869048254891,0.0199429075000262,50
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",1,NA,NA,5.3,0.0127029056698512,0.0344855407553872,28
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.594202899,0.884057971,NA,5.3,0.066119917079685,0.0159077130431319,62
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.495495495,0.972727273,NA,5.3,-0.334936683775661,0.0108875390831889,96
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.442857143,NA,NA,5.3,-0.0374781610445078,0.0169610560386041,58
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.587412587,0.986013986,3,5.3,-0.0749838400420073,0.0074282317639535,134
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.670886076,NA,NA,5.3,-0.318860427336423,0.0223582124693741,46
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.372093023,0.87804878,NA,5.3,-0.0285140866620136,0.0238192030135496,41
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.714285714,0.925925926,NA,5.3,-0.33648780689837,0.0391337785961347,26
"CAPS_UZH",36,21,15,33,3,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.583333333,0.916666667,NA,NA,-0.132851930003446,0.028823566218652,34
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",1,NA,NA,5.3,-0.640167961568482,0.0388679841777217,30
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.434782609,NA,NA,NA,0.759654880055046,0.0644268884197862,19
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.527272727,0.972477064,NA,NA,-0.226006652267324,0.00949573614291242,107
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.418439716,0.889705882,NA,5.3,-0.171148230787722,0.0112738428716765,89
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.420289855,0.913043478,NA,5.1,-0.170801626347394,0.015143083548977,66
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.756097561,0.923076923,NA,5.3,-0.0697284630540138,0.0244495372995107,40
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.692307692,0.858974359,NA,5.3,-0.0398479977546587,0.0137095059104456,72
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.58974359,0.871794872,NA,5.3,0.0240811894038582,0.0344927569600535,28
