"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","MaleProp","RightProp","ScannerField","FSVersion","yi","vi","df"
"ACPU",28,28,0,28,0,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",1,1,NA,NA,0.00484105268926368,0.0357147042105561,27
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.780487805,0.842105263,NA,5.3,0.616635399523758,0.0297529901993228,39
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.473684211,0.945454545,NA,5.3,-0.1665046175868,0.0202772378767773,49
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",1,NA,NA,5.3,0.0948601039482558,0.0334833073220179,29
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.594202899,0.884057971,NA,5.3,0.885320912513159,0.0220935961756598,62
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.495495495,0.972727273,NA,5.3,-0.0581108677101432,0.0102213105762552,97
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.442857143,NA,NA,5.3,-0.0535047472024578,0.0164169078522393,60
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.587412587,0.986013986,3,5.3,0.0652152508255334,0.00747855607813521,133
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.670886076,NA,NA,5.3,0.0494038607485097,0.0213025610793283,46
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.372093023,0.87804878,NA,5.3,-0.533075938551954,0.0265601157705005,42
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.714285714,0.925925926,NA,5.3,-0.213079900608927,0.0378778341489539,26
"CAPS_UZH",36,21,15,33,3,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.583333333,0.916666667,NA,NA,0.694245299077002,0.0364996549307429,33
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",1,NA,NA,5.3,0.382240458859263,0.0346146414256281,30
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.434782609,NA,NA,NA,-0.72418418747527,0.0548791899432439,22
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.527272727,0.972477064,NA,NA,-0.108931050814785,0.00931419432329451,107
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.418439716,0.889705882,NA,5.3,0.240666243504322,0.00773654225850557,132
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.420289855,0.913043478,NA,5.1,0.214670325206232,0.015739102680955,64
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.756097561,0.923076923,NA,5.3,0.0930835127532012,0.0251083067543309,39
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.692307692,0.858974359,NA,5.3,-0.12594258496066,0.013262246938859,75
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.58974359,0.871794872,NA,5.3,0.127351254885463,0.0265291887121171,37
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.580246914,0.8625,NA,5.3,0.157639485354005,0.0128155076414093,78
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.8375,0.8625,NA,5.1,0.172463022169387,0.0135316232934387,74
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.674342105,NA,NA,5.1,0.1605830879589,0.00486968011571735,207
"NYU ADHD",40,22,18,35,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.55,1,NA,5.3,0.0645396111403598,0.0250520670175769,39
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.535714286,NA,NA,NA,0.0737570614030446,0.00919926653260006,108
"UAB-ADHD",95,64,31,15,2,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.673684211,0.882352941,NA,5.3,0.184060832752012,0.0110536869030074,91
"UCHZ",39,21,18,38,1,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.538461538,0.974358974,NA,NA,0.0529568164844949,0.0256769798001561,38
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.558441558,0.945945946,NA,NA,-0.460855490423861,0.0145551827832488,75
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.524752475,0.926910299,1.5,NA,0.181866300857032,0.00336601879368778,301
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",0.536842105,0.868338558,3,NA,-0.426154760824931,0.00287053668443915,379
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",0.461139896,0.922818792,3,NA,-0.0379783016232847,0.00262656476560917,380
"Anna",165,92,73,160,5,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.557575758,0.96969697,NA,NA,0.050007972492102,0.00618055801639744,161
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.533333333,0.933333333,NA,NA,0.391174171660201,0.0358836205429007,29
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.418314703,0.950905624,NA,NA,0.163327743966366,0.00043659542265169,2320
"BILGIN",453,221,232,248,205,18.08,57.18,24.03,1111532,1835334,1396760,"BILGIN/ASY_DescriptiveInfo.Rdata",0.48785872,0.547461369,3,5.3,0.25666283610601,0.00229032795059643,450
"CAMH_ASD",146,77,69,139,6,18,86,40,1123430,1833770,1471570,"CAMH_ASD/ASY_DescriptiveInfo.Rdata",0.52739726,0.95862069,NA,NA,-0.227360213840433,0.00712393287096378,143
"Christoph",85,44,41,NA,NA,21,75,35,1240000,1930000,1570000,"Christoph/ASY_DescriptiveInfo.Rdata",0.517647059,NA,NA,NA,0.031896895404143,0.0120543217586532,82
"ClarissaBr",398,149,249,110,5,18,55,32,811432,1900000,1330000,"ClarissaBr/ASY_DescriptiveInfo.Rdata",0.374371859,0.956521739,NA,NA,0.716891183710228,0.00315820724784102,397
"Colm_UCSF",88,46,42,NA,NA,13,17,15,1230000,1810000,1560000,"Colm_UCSF/ASY_DescriptiveInfo.Rdata",0.522727273,NA,NA,NA,-0.0394213960516753,0.011372466173106,87
"ClinG_sample",323,132,191,307,15,18,58,24,1062340,2081450,1581790,"Egle/ClinG_sample/ASY_DescriptiveInfo.Rdata",0.408668731,0.953416149,NA,NA,-0.122178063952638,0.00316812496747046,317
"HMS_sample",55,21,34,44,7,19,64,41,1155270,1921180,1525650,"Egle/HMS_sample/ASY_DescriptiveInfo.Rdata",0.381818182,0.862745098,NA,NA,0.524607554424486,0.0214642743977287,52
"EstherCOBRE",70,50,20,69,1,18,65,34.5,1070000,1920000,1505000,"EstherCOBRE/ASY_DescriptiveInfo.Rdata",0.714285714,0.985714286,NA,NA,0.0502865226523161,0.0145110777852207,68
"EstherMCIC",164,102,62,150,5,18,60,27,1290000,1990000,1615000,"EstherMCIC/ASY_DescriptiveInfo.Rdata",0.62195122,0.967741935,NA,NA,0.0588144675432348,0.00622192279997638,160
"FIDMAG",117,55,62,117,0,21,63,41,1211550,1850590,1509640,"FIDMAG/ASY_DescriptiveInfo.Rdata",0.47008547,1,NA,NA,0.113821793601217,0.00875198000303738,114
"GEB",674,305,374,616,26,16.92,24.08,20.33,861850,1597510,1129565,"GEB/ASY_DescriptiveInfo.Rdata",0.449189985,0.959501558,3,5.3,-0.184578702201555,0.00151569992347721,670
"GloriaBPSydney",100,47,53,91,8,14,30,22,995969,1784914,1360040,"GloriaBPSydney/ASY_DescriptiveInfo.Rdata",0.47,0.919191919,NA,NA,0.357444049581852,0.0108559502478647,97
"JPCapeTown",26,10,16,26,0,19,56,29,1333950,1885170,1577910,"JPCapeTown/ASY_DescriptiveInfo.Rdata",0.384615385,1,NA,NA,0.117697283781558,0.0387279355886453,25
"Malt",44,18,26,43,1,20,50,27.5,970748,1648073,1307202,"Malt/ASY_DescriptiveInfo.Rdata",0.409090909,0.977272727,NA,NA,0.522692702152991,0.0258319052373181,43
"MatthewSacchet",59,23,36,49,9,18.85,60.53,35.73,1060000,1710000,1430000,"MatthewSacchet/ASY_DescriptiveInfo.Rdata",0.389830508,0.844827586,NA,NA,-0.240740977757897,0.0180522475295774,56
"MDD_Ilya",74,31,43,NA,NA,20,64,40.5,1300000,1930000,1570000,"MDD_Ilya/ASY_DescriptiveInfo.Rdata",0.418918919,NA,NA,NA,0.430518848989558,0.0156096177095378,69
"MichelleLBC",636,336,300,593,38,71.04,74.22,72.69,1059294,1812082,1433641,"MichelleLBC/ASY_DescriptiveInfo.Rdata",0.528301887,0.93977813,NA,NA,0.14562623614547,0.0016041325402015,629
"ASY_results_FOR2107",425,160,265,403,22,18,65,27,1150870,1948960,1544530,"Muenster/ASY_results_FOR2107/ASY_DescriptiveInfo.Rdata",0.376470588,0.948235294,NA,NA,0.104124411241324,0.00240531326915832,417
"ASY_results_MuensterCohort",739,323,416,725,14,17,65,32,930805,2015100,1432380,"Muenster/ASY_results_MuensterCohort/ASY_DescriptiveInfo.Rdata",0.437077131,0.98105548,NA,NA,-0.828316420107481,0.00185248833918598,724
"NESDA",65,23,42,NA,NA,21,56,40,992501,1906610,1499970,"NESDA/ASY_DescriptiveInfo.Rdata",0.353846154,NA,NA,NA,0.0874127018634714,0.0159336585749768,62
"NeuroIMAGE",388,180,208,NA,NA,7.72,28.59,16.53,1259250,2025730,1579145,"NeuroIMAGE/ASY_DescriptiveInfo.Rdata",0.463917526,NA,NA,NA,0.0224279293146522,0.00261162273108792,382
"NicolaMAS",532,242,290,497,16,70.3,90.06,78.08,912609,1884820,1376990,"NicolaMAS/ASY_DescriptiveInfo.Rdata",0.454887218,0.968810916,NA,NA,0.69974342336245,0.00236208810108065,526
"NicolaOATS",413,143,270,369,23,65,89,69,1052340,1882020,1425270,"NicolaOATS/ASY_DescriptiveInfo.Rdata",0.346246973,0.941326531,NA,NA,0.348239653259207,0.00259959663738002,407
"NORM_Moscow",54,54,0,NA,NA,16.07,27.62,22.94,1149026,1872418,1533725,"NORM_Moscow/ASY_DescriptiveInfo_nosex.Rdata",1,NA,NA,NA,0.415649444859932,0.020497777934079,52
"NUIG",83,48,35,69,5,18,58,36,1270000,1960000,1570000,"NUIG/ASY_DescriptiveInfo.Rdata",0.578313253,0.932432432,NA,NA,0.299546702434085,0.0117400462187592,88
"01_Cheng_1.5T",38,11,27,NA,NA,18,49,30.5,1123950,1641540,1367960,"OCD/01_Cheng_1.5T/ASY_DescriptiveInfo.Rdata",0.289473684,NA,1.5,NA,0.113542935510468,0.0287555999743476,34
"01_Cheng_3T",93,27,66,NA,NA,22,39,25,933842,1753880,1307235,"OCD/01_Cheng_3T/ASY_DescriptiveInfo.Rdata",0.290322581,NA,3,NA,0.684566655529362,0.0145213617991921,84
"02_Heuvel_1.5T",49,19,30,44,5,21,53,29,1162690,1843920,1478330,"OCD/02_Heuvel_1.5T/ASY_DescriptiveInfo.Rdata",0.387755102,0.897959184,1.5,NA,0.268258669140123,0.0235450308360094,43
"02_Heuvel_3T",36,17,19,29,5,21.51,64.02,39.55,1271150,1780840,1567660,"OCD/02_Heuvel_3T/ASY_DescriptiveInfo.Rdata",0.472222222,0.852941176,3,NA,0.268634685126695,0.0313964332432291,32
"03_Huyser",23,9,14,21,2,8.67,16.83,14.42,1210000,1600000,1400000,"OCD/03_Huyser/ASY_DescriptiveInfo.Rdata",0.391304348,0.913043478,3,NA,1.86983659011699,0.137407221843508,19
"04_Mataix_Cols",33,21,12,17,2,21,63,32,1200000,1970000,1450000,"OCD/04_Mataix_Cols/ASY_DescriptiveInfo.Rdata",0.636363636,0.894736842,1.5,NA,-0.344687291626887,0.0331063957657669,31
"OXUK",35,16,19,31,4,13.7,18.88,16.27,1370000,1960000,1640000,"OXUK/ASY_DescriptiveInfo.Rdata",0.457142857,0.885714286,NA,NA,0.682206435968808,0.0362559650187833,33
"GRADUAL",449,207,242,NA,NA,17,27,20,897723,1833040,1432528,"QiuOld/GRADUAL/ASY_DescriptiveInfo.Rdata",0.461024499,NA,3,5.3,-0.164120465403924,0.0022723492457,445
"OLDERS",193,58,135,NA,NA,30,80,60,1052606,1787736,1393392,"QiuOld/OLDERS/ASY_DescriptiveInfo.Rdata",0.300518135,NA,3,5.3,0.120117993355534,0.00521872624955378,192
"QTIM",1040,366,674,NA,NA,15.4,30.11,22.04,1140000,2010000,1470000,"QTIM/ASY_DescriptiveInfo.Rdata",0.351923077,NA,NA,NA,-0.477765238353169,0.00107127866489359,1039
"Quinn",54,23,31,NA,NA,7,24,17,1280000,1880000,1570000,"Quinn/ASY_DescriptiveInfo.Rdata",0.425925926,NA,NA,NA,-0.0838617779804908,0.0189342716774156,52
"SaoPaulo1",69,45,24,NA,NA,17,43,27,787079,1316860,1045415,"SaoPaulo1/ASY_DescriptiveInfo.Rdata",0.652173913,NA,NA,5.3,0.205709145893427,0.0147993931355377,68
"SaoPaulo3",85,45,40,NA,NA,18,50,29,1014957,1860720,1465983,"SaoPaulo3/ASY_DescriptiveInfo.Rdata",0.529411765,NA,NA,NA,0.306947855868331,0.012615764977242,82
"SaudEPIGEN",68,39,29,63,5,18.35,54.11,33.44,920698,2020000,1560000,"SaudEPIGEN/ASY_DescriptiveInfo.Rdata",0.573529412,0.926470588,NA,NA,0.459733706453488,0.0165026498570855,66
"SHIP-2",448,250,198,408,22,31,89,57,1215740,2036700,1573160,"SHIP/SHIP-2/ASY_DescriptiveInfo.Rdata",0.558035714,0.948837209,NA,NA,0.303941974369243,0.000911315646247157,1147
"SHIP-TREND-0",937,528,409,855,36,21,81,51,1166230,2047120,1596805,"SHIP/SHIP-TREND-0/ASY_DescriptiveInfo.Rdata",0.563500534,0.95959596,NA,NA,0.362295585787515,0.000514051638080347,2072
"StenerEOP",47,20,27,44,3,12.01,18.78,16.13,1288205,1880424,1531958,"StenerEOP/ASY_DescriptiveInfo.Rdata",0.425531915,0.936170213,NA,NA,-0.712211244564168,0.0266728176264217,46
"UMCG_sample_groenewold",23,6,17,NA,NA,24,66,44,1207950,1816640,1471080,"UMCG_sample_groenewold/ASY_DescriptiveInfo.Rdata",0.260869565,NA,NA,NA,-0.249054647963941,0.049095909944582,20
"1.5T_Adults_Lateralization",20,14,6,NA,NA,18,38,24.5,1084040,1685950,1424395,"Venkat/1.5T_Adults_Lateralization/ASY_DescriptiveInfo.Rdata",0.7,NA,1.5,NA,0.465493840998317,0.0554171129001842,19
"3T_Adults_Lateralization",170,108,62,NA,NA,18,45,26,995985,1710000,1410000,"Venkat/3T_Adults_Lateralization/ASY_DescriptiveInfo.Rdata",0.635294118,NA,3,NA,0.124493822912709,0.00592793738806889,169
"3T_Child_Adolescent_Lateralization",14,7,7,NA,NA,10,18,14,1140000,1670000,1340000,"Venkat/3T_Child_Adolescent_Lateralization/ASY_DescriptiveInfo.Rdata",0.5,NA,3,NA,NA,NA,NA
"Cousijn",40,25,15,37,3,17.66,26.04,21.68,979900,1884780,1481670,"Vermont/Cousijn/ASY_DescriptiveInfo.Rdata",0.625,0.925,NA,NA,0.816974092311251,0.0341980341988179,38
"DStein",63,50,13,63,0,3,53,25,1170000,1860000,1600000,"Vermont/DStein/ASY_DescriptiveInfo.Rdata",0.793650794,1,NA,NA,0.147784919786326,0.0165724621517725,60
"EStein",230,113,117,230,0,18,55,29.5,856579,1829470,1409095,"Vermont/EStein/ASY_DescriptiveInfo.Rdata",0.491304348,1,NA,NA,-0.0230072383789481,0.00440645227536966,226
"Foxe",22,15,4,NA,NA,20,55,40,875116,1410000,1285000,"Vermont/Foxe/ASY_DescriptiveInfo.Rdata",0.789473684,NA,NA,NA,1.2731961149271,0.0952902196596172,18
"Garavan",15,11,4,NA,NA,19,33,22,1230000,1700000,1470000,"Vermont/Garavan/ASY_DescriptiveInfo.Rdata",0.733333333,NA,NA,NA,NA,NA,NA
"London",101,45,56,99,2,18,54,33,1317580,1897910,1578800,"Vermont/London/ASY_DescriptiveInfo.Rdata",0.445544554,0.98019802,NA,NA,0.512396518848619,0.0115436234312662,97
"Luijten",43,27,16,43,0,18,28,22,1267940,1884160,1558980,"Vermont/Luijten/ASY_DescriptiveInfo.Rdata",0.627906977,1,NA,NA,0.201915831899184,0.0275779730158316,36
"Momenan",140,73,67,128,12,21,55,29,880047,1870000,1380000,"Vermont/Momenan/ASY_DescriptiveInfo.Rdata",0.521428571,0.914285714,NA,NA,0.0948217195482798,0.00738599690624299,135
"Orr",14,13,1,14,0,14,19,16,1459160,1816790,1654990,"Vermont/Orr/ASY_DescriptiveInfo.Rdata",0.928571429,1,NA,NA,NA,NA,NA
"Ozlem",22,12,11,20,1,17,23,20,1002660,1603610,1363665,"Vermont/Ozlem/ASY_DescriptiveInfo.Rdata",0.52173913,0.952380952,NA,NA,0.587486096575414,0.0532986344015777,21
"Paulus",31,18,13,NA,NA,18,55,37,1205720,1710840,1460350,"Vermont/Paulus/ASY_DescriptiveInfo.Rdata",0.580645161,NA,NA,NA,0.333052798990095,0.0351820694485856,29
"Schmaal",18,18,0,18,0,29,56,43,1443460,1837480,1652215,"Vermont/Schmaal/ASY_DescriptiveInfo_nosex.Rdata",1,1,NA,NA,0.322665897103748,0.0584475911431602,17
"Sinha",131,86,45,115,15,19,50,27,844969,1350000,1090000,"Vermont/Sinha/ASY_DescriptiveInfo.Rdata",0.65648855,0.884615385,NA,NA,-0.187582338012757,0.00794994974036848,127
"Sjoerds",20,14,6,17,3,27,68,49.5,1260000,1850000,1565000,"Vermont/Sjoerds/ASY_DescriptiveInfo.Rdata",0.7,0.85,NA,NA,-0.0723963177718157,0.0501310306706729,19
"VanHolst",24,24,0,24,0,21,53,38.5,1295890,2013820,1674265,"Vermont/VanHolst/ASY_DescriptiveInfo_nosex.Rdata",1,1,NA,NA,0.377335208625782,0.0446329554097638,23
"Yucel",179,116,66,NA,NA,18,55,19,1290000,1990000,1590000,"Vermont/Yucel/ASY_DescriptiveInfo.Rdata",0.637362637,NA,NA,NA,0.000237180145562322,0.00552486203385199,180
"Kwon_3T",89,54,35,NA,NA,18,48,25,1190000,1920000,1570000,"YunOCD/Kwon_3T/ASY_DescriptiveInfo.Rdata",0.606741573,NA,3,NA,0.262204266813039,0.0120276225438079,85
"KwonNMC_15T",103,57,46,NA,NA,18,36,24,1200000,1830000,1550000,"YunOCD/KwonNMC_15T/ASY_DescriptiveInfo.Rdata",0.553398058,NA,1.5,NA,0.0828785176815465,0.00974208178977228,102
"KwonSNU_15T",45,29,16,NA,NA,18,42,24,1250000,1920000,1560000,"YunOCD/KwonSNU_15T/ASY_DescriptiveInfo.Rdata",0.644444444,NA,1.5,NA,0.0473215883007595,0.0227527196899921,43
